no,menu,energy,carbo,protein,fat,price
1,Ayam Goreng,21.6,7.92,25.84,8.96,9600
2,Empal Goreng,198.4,8.08,28.96,5.52,12000
3,Bandeng Goreng,98.4,0,16,3.84,8000
4,Pempek Tengiri,138.4,26.72,5.76,0.96,6400
5,Tumis Bandeng,151.2,0.48,9.04,12.56,9600
6,Gurame Asam Manis,153.6,10.16,10.16,8.08,12000
7,Jambal Goreng,228.8,1.84,38.8,7.36,8000
8,Mujair Acar Kuning,264,9.68,14.24,18.72,6400
9,Ikan Mas Pepes,167.2,9.44,12.16,9.04,8000
10,Belut Goreng,333.6,25.6,20.72,15.52,9600
11,Sop Daging Sapi,39.2,4.24,0.64,0.4,12000
