no,menu,energy,carbo,protein,fat,price
1,Yoghurt,78,6,4.95,3.75,18000
2,Alpukat,127.5,11.55,1.35,9.75,6000
3,Anggur hutan,45,10.2,0.75,0.3,18000
4,Apel,87,22.35,0.45,0.6,5250
5,Arbai,55.5,12.45,1.2,0.75,6000
6,Duku,94.5,24.15,1.5,0.3,3750
7,Jambu biji,73.5,17.7,0.9,0.3,3000
8,Jeruk Bali,72,18.6,0.9,0.3,3750
9,Jeruk Manis,67.5,16.8,1.35,0.3,4875
10,Mangga,78,18.45,1.05,0,3750
11,Kesemek,117,30,1.2,0.6,3750
