no,menu,energy,carbo,protein,fat,price
1,Nasi Putih,360,79.6,6,0.6,3000
2,Nasi Beras Merah,298,65,5.6,0.8,10000
3,Nasi Tim,240,52,4.8,0.8,5000
4,Nasi Ketan Putih,326,52,6,0.8,5000
5,Nasi Ketan Hitam,362,74.6,8,2.4,10000
6,Bihun,696,164.2,9.4,0.2,3000
7,Biskuit,916,150.2,13.8,28.8,15000
8,Kentang rebus,124,27,4.2,0.4,3000
9,Makroni rebus,706,157.4,17.4,0.8,3000
10,Maizena,682,170,0.6,0,5000
11,Nasi Jagung Kuning,716,165.4,11,0.2,5000
